season,date,match_type,team1,team2,toss_winner,toss_decision,winner,result,result_margin,player_of_match,venue,city
2023,2023-05-23,Qualifier 1,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,runs,15.0,RD Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2023,2023-05-26,Qualifier 2,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,runs,62.0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2023,2023-05-29,Final,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,DP Conway,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2024,2024-03-22,League,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,Chennai Super Kings,wickets,6.0,Mustafizur Rahman,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2024,2024-03-23,League,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,4.0,SM Curran,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali
2024,2024-03-24,League,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,runs,6.0,B Sai Sudharsan,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2024,2024-03-26,League,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,runs,63.0,S Dube,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2024,2024-03-28,League,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,runs,12.0,R Parag,"Sawai Mansingh Stadium, Jaipur",Jaipur
2024,2024-03-31,League,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,Gujarat Titans,wickets,7.0,MM Sharma,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2024,2024-03-31,League,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,runs,20.0,KK Ahmed,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam
2024,2024-04-03,League,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,106.0,SP Narine,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam
2024,2024-04-04,League,Gujarat Titans,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,3.0,Shashank Singh,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2024,2024-04-05,League,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6.0,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad
2024,2024-04-07,League,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,29.0,R Shepherd,"Wankhede Stadium, Mumbai",Mumbai
