season,date,match_type,team1,team2,toss_winner,toss_decision,winner,result,result_margin,player_of_match,venue,city
2012,2012-05-23,Elimination Final,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,38.0,MS Dhoni,M Chinnaswamy Stadium,Bangalore
2012,2012-05-25,Qualifier 2,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Chennai Super Kings,runs,86.0,M Vijay,"MA Chidambaram Stadium, Chepauk",Chennai
2012,2012-05-27,Final,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Kolkata Knight Riders,wickets,5.0,MS Bisla,"MA Chidambaram Stadium, Chepauk",Chennai
2013,2013-04-03,League,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,SP Narine,Eden Gardens,Kolkata
2013,2013-04-06,League,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,5.0,R Dravid,Feroz Shah Kotla,Delhi
2013,2013-04-06,League,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,9.0,KA Pollard,"MA Chidambaram Stadium, Chepauk",Chennai
2013,2013-04-09,League,Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,runs,44.0,KD Karthik,Wankhede Stadium,Mumbai
2013,2013-04-10,League,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,10.0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Chandigarh
2013,2013-04-12,League,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,wickets,3.0,A Mishra,Feroz Shah Kotla,Delhi
2013,2013-04-13,League,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0,RA Jadeja,"MA Chidambaram Stadium, Chepauk",Chennai
2013,2013-04-15,League,Chennai Super Kings,Rising Pune Supergiant,Rising Pune Supergiant,bat,Rising Pune Supergiant,runs,24.0,SPD Smith,"MA Chidambaram Stadium, Chepauk",Chennai
2013,2013-04-16,League,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,tie,,V Kohli,M Chinnaswamy Stadium,Bangalore
2013,2013-04-18,League,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,86.0,MEK Hussey,Feroz Shah Kotla,Delhi
2013,2013-04-20,League,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,4.0,RA Jadeja,Eden Gardens,Kolkata
2013,2013-04-21,League,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Delhi Capitals,wickets,9.0,V Sehwag,Feroz Shah Kotla,Delhi
2013,2013-04-22,League,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,5.0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Chennai
2013,2013-04-23,League,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,5.0,Harmeet Singh,Feroz Shah Kotla,Delhi
2013,2013-04-25,League,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Chennai Super Kings,wickets,5.0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Chennai
2013,2013-04-28,League,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,runs,14.0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Chennai
2013,2013-04-28,League,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant,field,Delhi Capitals,runs,15.0,DA Warner,Shaheed Veer Narayan Singh International Stadium,Raipur
2013,2013-04-30,League,Rising Pune Supergiant,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,37.0,MS Dhoni,Subrata Roy Sahara Stadium,Pune
2013,2013-05-01,League,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,bat,Delhi Capitals,wickets,7.0,DA Warner,Shaheed Veer Narayan Singh International Stadium,Raipur
2013,2013-05-02,League,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,15.0,SK Raina,"MA Chidambaram Stadium, Chepauk",Chennai
2013,2013-05-04,League,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,Sunrisers Hyderabad,wickets,6.0,DJG Sammy,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
2013,2013-05-05,League,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,runs,60.0,MG Johnson,Wankhede Stadium,Mumbai
2013,2013-05-07,League,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,Rajasthan Royals,wickets,9.0,AM Rahane,Sawai Mansingh Stadium,Jaipur
2013,2013-05-08,League,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,runs,77.0,SK Raina,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
2013,2013-05-10,League,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,field,Royal Challengers Bengaluru,runs,4.0,JD Unadkat,Feroz Shah Kotla,Delhi
2013,2013-05-12,League,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Rajasthan Royals,wickets,5.0,SR Watson,Sawai Mansingh Stadium,Jaipur
2013,2013-05-14,League,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Chennai
2013,2013-05-16,League,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,runs,7.0,DA Miller,Himachal Pradesh Cricket Association Stadium,Dharamsala
2013,2013-05-18,League,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,runs,24.0,V Kohli,M Chinnaswamy Stadium,Bangalore
2013,2013-05-19,League,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,bat,Rising Pune Supergiant,runs,38.0,LJ Wright,Subrata Roy Sahara Stadium,Pune
2013,2013-05-21,Qualifier 1,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,runs,48.0,MEK Hussey,Feroz Shah Kotla,Delhi
2013,2013-05-26,Final,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,23.0,KA Pollard,Eden Gardens,Kolkata
2014,2014-04-17,League,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,8.0,YS Chahal,Sharjah Cricket Stadium,
2014,2014-04-18,League,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Punjab Kings,wickets,6.0,GJ Maxwell,Sheikh Zayed Stadium,Abu Dhabi
2014,2014-04-19,League,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Delhi Capitals,wickets,4.0,JP Duminy,Dubai International Cricket Stadium,
2014,2014-04-21,League,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,runs,93.0,SK Raina,Sheikh Zayed Stadium,Abu Dhabi
2014,2014-04-23,League,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,runs,7.0,RA Jadeja,Dubai International Cricket Stadium,
2014,2014-04-25,League,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,4.0,AJ Finch,Dubai International Cricket Stadium,
2014,2014-04-25,League,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,wickets,7.0,MM Sharma,Dubai International Cricket Stadium,
2014,2014-04-27,League,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Delhi Capitals,wickets,6.0,M Vijay,Sharjah Cricket Stadium,
2014,2014-04-27,League,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,wickets,5.0,DR Smith,Sharjah Cricket Stadium,
2014,2014-05-02,League,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,runs,34.0,RA Jadeja,JSCA International Stadium Complex,Ranchi
2014,2014-05-03,League,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,KK Nair,Feroz Shah Kotla,Delhi
2014,2014-05-05,League,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,8.0,DR Smith,Feroz Shah Kotla,Delhi
2014,2014-05-07,League,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,wickets,8.0,G Gambhir,Feroz Shah Kotla,Delhi
2014,2014-05-07,League,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,runs,44.0,GJ Maxwell,Barabati Stadium,Cuttack
2014,2014-05-10,League,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8.0,DW Steyn,Feroz Shah Kotla,Delhi
2014,2014-05-10,League,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4.0,DR Smith,Wankhede Stadium,Mumbai
2014,2014-05-13,League,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,wickets,5.0,RA Jadeja,JSCA International Stadium Complex,Ranchi
2014,2014-05-13,League,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru,runs,16.0,Yuvraj Singh,M Chinnaswamy Stadium,Bangalore
2014,2014-05-15,League,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,runs,62.0,AM Rahane,"Sardar Patel Stadium, Motera",Ahmedabad
2014,2014-05-18,League,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,Royal Challengers Bengaluru,wickets,5.0,AB de Villiers,JSCA International Stadium Complex,Ranchi
2014,2014-05-19,League,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,4.0,AR Patel,Feroz Shah Kotla,Delhi
2014,2014-05-20,League,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8.0,RV Uthappa,Eden Gardens,Kolkata
2014,2014-05-22,League,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6.0,DA Warner,JSCA International Stadium Complex,Ranchi
2014,2014-05-23,League,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,15.0,MEK Hussey,Wankhede Stadium,Mumbai
2014,2014-05-24,League,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,8.0,MS Dhoni,M Chinnaswamy Stadium,Bangalore
2014,2014-05-25,League,Punjab Kings,Delhi Capitals,Punjab Kings,field,Punjab Kings,wickets,7.0,M Vohra,"Punjab Cricket Association Stadium, Mohali",Chandigarh
2014,2014-05-28,Eliminator,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,wickets,7.0,SK Raina,Brabourne Stadium,Mumbai
2014,2014-05-30,Qualifier 2,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,runs,24.0,V Sehwag,Wankhede Stadium,Mumbai
2015,2015-04-09,League,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,runs,1.0,A Nehra,"MA Chidambaram Stadium, Chepauk",Chennai
2015,2015-04-11,League,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,45.0,BB McCullum,"MA Chidambaram Stadium, Chepauk",Chennai
2015,2015-04-12,League,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,DJ Hooda,Feroz Shah Kotla,Delhi
2015,2015-04-15,League,Punjab Kings,Delhi Capitals,Punjab Kings,bat,Delhi Capitals,wickets,5.0,MA Agarwal,Maharashtra Cricket Association Stadium,Pune
2015,2015-04-17,League,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,wickets,6.0,A Nehra,Wankhede Stadium,Mumbai
2015,2015-04-18,League,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,runs,4.0,JP Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
2015,2015-04-19,League,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,wickets,8.0,AM Rahane,"Sardar Patel Stadium, Motera",Ahmedabad
2015,2015-04-20,League,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,UT Yadav,Feroz Shah Kotla,Delhi
2015,2015-04-22,League,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,field,Chennai Super Kings,runs,27.0,SK Raina,M Chinnaswamy Stadium,Bangalore
2015,2015-04-23,League,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,runs,37.0,SS Iyer,Feroz Shah Kotla,Delhi
2015,2015-04-25,League,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,97.0,BB McCullum,"MA Chidambaram Stadium, Chepauk",Chennai
2015,2015-04-26,League,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,10.0,VR Aaron,Feroz Shah Kotla,Delhi
2015,2015-04-28,League,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,runs,2.0,DJ Bravo,"MA Chidambaram Stadium, Chepauk",Chennai
2015,2015-04-30,League,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,AD Russell,Eden Gardens,Kolkata
2015,2015-05-01,League,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,wickets,9.0,NM Coulter-Nile,Feroz Shah Kotla,Delhi
2015,2015-05-02,League,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,runs,22.0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
2015,2015-05-03,League,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,runs,14.0,AM Rahane,Brabourne Stadium,Mumbai
2015,2015-05-04,League,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,Chennai Super Kings,runs,24.0,SK Raina,"MA Chidambaram Stadium, Chepauk",Chennai
2015,2015-05-05,League,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,Mumbai Indians,wickets,5.0,Harbhajan Singh,Wankhede Stadium,Mumbai
2015,2015-05-07,League,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,13.0,PP Chawla,Eden Gardens,Kolkata
2015,2015-05-08,League,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,wickets,6.0,HH Pandya,"MA Chidambaram Stadium, Chepauk",Chennai
2015,2015-05-09,League,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,6.0,MC Henriques,Shaheed Veer Narayan Singh International Stadium,Raipur
2015,2015-05-10,League,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,runs,12.0,RA Jadeja,"MA Chidambaram Stadium, Chepauk",Chennai
2015,2015-05-12,League,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Delhi Capitals,wickets,6.0,Z Khan,Shaheed Veer Narayan Singh International Stadium,Raipur
2015,2015-05-16,League,Punjab Kings,Chennai Super Kings,Punjab Kings,bat,Chennai Super Kings,wickets,7.0,P Negi,"Punjab Cricket Association Stadium, Mohali",Chandigarh
2015,2015-05-17,League,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,field,,no result,,,M Chinnaswamy Stadium,Bangalore
2015,2015-05-19,Qualifier 1,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,25.0,KA Pollard,Wankhede Stadium,Mumbai
2015,2015-05-22,Qualifier 2,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,field,Chennai Super Kings,wickets,3.0,A Nehra,JSCA International Stadium Complex,Ranchi
2015,2015-05-24,Final,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,runs,41.0,RG Sharma,Eden Gardens,Kolkata
2016,2016-04-10,League,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,9.0,AD Russell,Eden Gardens,Kolkata
2016,2016-04-11,League,Punjab Kings,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,5.0,AJ Finch,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh
2016,2016-04-14,League,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,bat,Gujarat Lions,wickets,7.0,AJ Finch,Saurashtra Cricket Association Stadium,Rajkot
2016,2016-04-15,League,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,wickets,8.0,A Mishra,Feroz Shah Kotla,Delhi
2016,2016-04-16,League,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,3.0,AJ Finch,Wankhede Stadium,Mumbai
2016,2016-04-17,League,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7.0,Q de Kock,M Chinnaswamy Stadium,Bangalore
2016,2016-04-21,League,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,10.0,B Kumar,Saurashtra Cricket Association Stadium,Rajkot
2016,2016-04-23,League,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,runs,10.0,SV Samson,Feroz Shah Kotla,Delhi
2016,2016-04-24,League,Gujarat Lions,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Gujarat Lions,wickets,6.0,V Kohli,Saurashtra Cricket Association Stadium,Rajkot
2016,2016-04-27,League,Delhi Capitals,Gujarat Lions,Delhi Capitals,field,Gujarat Lions,runs,1.0,CH Morris,Feroz Shah Kotla,Delhi
2016,2016-04-29,League,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,3.0,DR Smith,Maharashtra Cricket Association Stadium,Pune
2016,2016-04-30,League,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,runs,27.0,CR Brathwaite,Feroz Shah Kotla,Delhi
2016,2016-05-01,League,Gujarat Lions,Punjab Kings,Gujarat Lions,field,Punjab Kings,runs,23.0,AR Patel,Saurashtra Cricket Association Stadium,Rajkot
2016,2016-05-03,League,Gujarat Lions,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,8.0,RR Pant,Saurashtra Cricket Association Stadium,Rajkot
2016,2016-05-05,League,Delhi Capitals,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,7.0,AM Rahane,Feroz Shah Kotla,Delhi
2016,2016-05-06,League,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5.0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
2016,2016-05-07,League,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,runs,9.0,MP Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh
2016,2016-05-08,League,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,5.0,P Kumar,Eden Gardens,Kolkata
2016,2016-05-12,League,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7.0,CH Morris,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
2016,2016-05-14,League,Royal Challengers Bengaluru,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bengaluru,runs,144.0,AB de Villiers,M Chinnaswamy Stadium,Bangalore
2016,2016-05-15,League,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,80.0,KH Pandya,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
2016,2016-05-17,League,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,field,Rising Pune Supergiant,runs,19.0,AB Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
2016,2016-05-19,League,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,field,Gujarat Lions,wickets,6.0,DR Smith,Green Park,Kanpur
2016,2016-05-20,League,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,wickets,6.0,KK Nair,Shaheed Veer Narayan Singh International Stadium,Raipur
2016,2016-05-21,League,Gujarat Lions,Mumbai Indians,Gujarat Lions,field,Gujarat Lions,wickets,6.0,SK Raina,Green Park,Kanpur
2016,2016-05-22,League,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,6.0,V Kohli,Shaheed Veer Narayan Singh International Stadium,Raipur
2016,2016-05-24,Qualifier 1,Gujarat Lions,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,4.0,AB de Villiers,M Chinnaswamy Stadium,Bangalore
2016,2016-05-27,Qualifier 2,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,4.0,DA Warner,Feroz Shah Kotla,Delhi
2017,2017-04-07,League,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,10.0,CA Lynn,Saurashtra Cricket Association Stadium,Rajkot
2017,2017-04-08,League,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,15.0,KM Jadhav,M.Chinnaswamy Stadium,Bengaluru
2017,2017-04-09,League,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9.0,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
2017,2017-04-11,League,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,field,Delhi Capitals,runs,97.0,SV Samson,Maharashtra Cricket Association Stadium,Pune
2017,2017-04-14,League,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Gujarat Lions,wickets,7.0,AJ Tye,Saurashtra Cricket Association Stadium,Rajkot
2017,2017-04-15,League,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals,runs,51.0,CJ Anderson,Feroz Shah Kotla,Delhi
2017,2017-04-16,League,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,wickets,6.0,N Rana,Wankhede Stadium,Mumbai
2017,2017-04-17,League,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,wickets,4.0,NM Coulter-Nile,Feroz Shah Kotla,Delhi
2017,2017-04-18,League,Gujarat Lions,Royal Challengers Bengaluru,Gujarat Lions,field,Royal Challengers Bengaluru,runs,21.0,CH Gayle,Saurashtra Cricket Association Stadium,Rajkot
2017,2017-04-19,League,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,15.0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
2017,2017-04-21,League,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,4.0,SK Raina,Eden Gardens,Kolkata
2017,2017-04-22,League,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,14.0,MJ McClenaghan,Wankhede Stadium,Mumbai
2017,2017-04-23,League,Gujarat Lions,Punjab Kings,Gujarat Lions,field,Punjab Kings,runs,26.0,HM Amla,Saurashtra Cricket Association Stadium,Rajkot
2017,2017-04-27,League,Royal Challengers Bengaluru,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,7.0,AJ Tye,M Chinnaswamy Stadium,Bangalore
2017,2017-04-28,League,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,G Gambhir,Eden Gardens,Kolkata
2017,2017-04-29,League,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,Mumbai Indians,tie,,KH Pandya,Saurashtra Cricket Association Stadium,Rajkot
2017,2017-04-30,League,Punjab Kings,Delhi Capitals,Punjab Kings,field,Punjab Kings,wickets,10.0,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh
2017,2017-05-01,League,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,5.0,BA Stokes,Maharashtra Cricket Association Stadium,Pune
2017,2017-05-02,League,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,wickets,6.0,Mohammed Shami,Feroz Shah Kotla,Delhi
2017,2017-05-04,League,Delhi Capitals,Gujarat Lions,Delhi Capitals,field,Delhi Capitals,wickets,7.0,RR Pant,Feroz Shah Kotla,Delhi
2017,2017-05-06,League,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,runs,146.0,LMP Simmons,Feroz Shah Kotla,Delhi
2017,2017-05-07,League,Punjab Kings,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,6.0,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh
2017,2017-05-10,League,Gujarat Lions,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,2.0,SS Iyer,Green Park,Kanpur
2017,2017-05-12,League,Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,bat,Delhi Capitals,runs,7.0,KK Nair,Feroz Shah Kotla,Delhi
2017,2017-05-13,League,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8.0,Mohammed Siraj,Green Park,Kanpur
2017,2017-05-14,League,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,10.0,HV Patel,Feroz Shah Kotla,Delhi
2018,2018-04-07,League,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,1.0,DJ Bravo,Wankhede Stadium,Mumbai
2018,2018-04-08,League,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,6.0,KL Rahul,Punjab Cricket Association IS Bindra Stadium,Chandigarh
2018,2018-04-10,League,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,SW Billings,MA Chidambaram Stadium,Chennai
2018,2018-04-11,League,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,runs,10.0,SV Samson,Sawai Mansingh Stadium,Jaipur
2018,2018-04-14,League,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7.0,JJ Roy,Wankhede Stadium,Mumbai
2018,2018-04-15,League,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,runs,4.0,CH Gayle,Punjab Cricket Association IS Bindra Stadium,Chandigarh
2018,2018-04-16,League,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,runs,71.0,N Rana,Eden Gardens,Kolkata
